longitude,latitude,housing_median_age,median_income,median_house_value,ocean_proximity_NEAR BAY,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_NEAR OCEAN,ocean_proximity_ISLAND,rooms_per_household,log_population_per_household,bedrooms_per_room
-122.29,37.82,2.0,2.5625,60000.0,1,0,0,0,0,2.771930,0.500244,0.272152
-122.29,37.83,52.0,3.3929,75700.0,1,0,0,0,0,5.994652,1.086056,0.188225
-122.29,37.82,49.0,6.1183,75000.0,1,0,0,0,0,5.869565,1.318853,0.214815
-122.29,37.81,50.0,0.9011,86100.0,1,0,0,0,0,6.229508,1.128224,0.250000
-122.3,37.81,52.0,1.191,76100.0,1,0,0,0,0,7.698113,1.186846,0.193627
-122.3,37.81,48.0,2.5938,73500.0,1,0,0,0,0,6.225564,1.080913,0.219807
-122.3,37.81,52.0,1.1667,78400.0,1,0,0,0,0,5.401070,1.172466,0.206931
-122.3,37.81,48.0,0.8056,84400.0,1,0,0,0,0,4.382530,0.864363,0.243299
-122.29,37.8,52.0,2.6094,81300.0,1,0,0,0,0,6.986395,1.208046,0.237585
-122.3,37.81,52.0,1.8516,85000.0,1,0,0,0,0,6.975610,1.206409,0.190559
-122.29,37.81,46.0,0.9802,129200.0,1,0,0,0,0,4.584288,1.093142,0.229918
-122.29,37.81,26.0,1.7719,82500.0,1,0,0,0,0,6.047244,1.127075,0.197917
-122.29,37.81,46.0,0.7286,95200.0,1,0,0,0,0,3.375451,0.742453,0.317647
-122.29,37.81,49.0,1.75,75000.0,1,0,0,0,0,5.552632,1.304056,0.241706
-122.29,37.81,46.0,0.4999,67500.0,1,0,0,0,0,1.714286,0.944462,0.333333
-122.29,37.81,20.0,2.483,137500.0,1,0,0,0,0,6.278195,0.779532,0.192814
-122.28,37.81,17.0,0.9241,177500.0,1,0,0,0,0,2.817768,0.551447,0.373484
-122.28,37.81,36.0,2.4464,102100.0,1,0,0,0,0,5.724951,0.887188,0.192862
-122.28,37.81,19.0,1.1111,108300.0,1,0,0,0,0,5.830918,1.247920,0.201326
-122.29,37.81,23.0,0.8026,112500.0,1,0,0,0,0,5.369231,1.176523,0.214327
-122.28,37.8,38.0,2.0114,131300.0,1,0,0,0,0,4.412903,0.797217,0.257310
-122.28,37.81,17.0,1.5,162500.0,1,0,0,0,0,3.197232,0.745391,0.312771
-122.27,37.81,52.0,1.1667,112500.0,1,0,0,0,0,3.750000,1.184134,0.266667
-122.28,37.81,52.0,1.5208,112500.0,1,0,0,0,0,3.908046,0.832409,0.285294
-122.28,37.81,52.0,0.8075,137500.0,1,0,0,0,0,2.490323,0.803014,0.424870
-122.28,37.81,35.0,1.8088,118800.0,1,0,0,0,0,5.609467,1.016431,0.194093
-122.28,37.81,52.0,2.4083,98200.0,1,0,0,0,0,6.721739,1.187313,0.184994
-122.27,37.81,40.0,0.977,118800.0,1,0,0,0,0,2.315789,0.426299,0.512500
-122.27,37.81,10.0,0.76,162500.0,1,0,0,0,0,2.651515,0.503526,0.397714
-122.27,37.8,10.0,0.9722,137500.0,1,0,0,0,0,2.692308,1.164752,0.400000
-122.27,37.8,52.0,1.2434,500001.0,1,0,0,0,0,2.929412,1.538763,0.313253
-122.27,37.8,16.0,2.0938,162500.0,1,0,0,0,0,2.745856,0.792968,0.394366
-122.28,37.8,52.0,0.8668,137500.0,1,0,0,0,0,2.443182,2.329493,0.404651
-122.28,37.8,52.0,0.75,162500.0,1,0,0,0,0,2.823529,1.725913,0.322917
-122.27,37.79,27.0,2.6354,187500.0,1,0,0,0,0,3.493377,0.866042,0.328910
-122.27,37.8,39.0,1.8477,179200.0,1,0,0,0,0,3.672377,1.044347,0.363265
-122.26,37.8,36.0,2.0096,130000.0,1,0,0,0,0,2.294016,0.401007,0.464815
-122.26,37.82,31.0,2.8345,183800.0,1,0,0,0,0,3.894915,0.551349,0.289600
-122.26,37.81,29.0,2.0062,125000.0,1,0,0,0,0,3.681319,0.797408,0.319403
-122.26,37.82,22.0,1.2185,170000.0,1,0,0,0,0,2.945600,0.481932,0.344921
-122.26,37.82,37.0,2.6104,193100.0,1,0,0,0,0,3.707143,0.628881,0.298651
-122.25,37.81,29.0,2.4912,257800.0,1,0,0,0,0,3.724800,0.611503,0.303694
-122.25,37.81,28.0,3.2177,273400.0,1,0,0,0,0,3.878424,0.537715,0.276094
-122.25,37.81,39.0,3.125,237500.0,1,0,0,0,0,3.745614,0.534234,0.283372
-122.25,37.81,52.0,2.5795,350000.0,1,0,0,0,0,3.515498,0.378459,0.325290
-122.26,37.81,34.0,2.8406,335700.0,1,0,0,0,0,3.281722,0.407512,0.326009
-122.24,37.82,52.0,4.9306,313400.0,1,0,0,0,0,6.184426,1.016062,0.149105
-122.24,37.81,52.0,3.2727,268500.0,1,0,0,0,0,4.442982,0.441363,0.237907
-122.25,37.81,52.0,3.1691,259400.0,1,0,0,0,0,4.165877,0.485872,0.261661
-122.24,37.82,52.0,3.9,275700.0,1,0,0,0,0,4.848189,0.698703,0.215743
-122.25,37.82,28.0,3.9063,225000.0,1,0,0,0,0,4.160848,0.639357,0.256218
-122.25,37.82,52.0,5.0917,262500.0,1,0,0,0,0,5.628458,0.776529,0.202949
-122.25,37.82,32.0,2.6429,218500.0,1,0,0,0,0,3.727006,0.569353,0.288265
-122.25,37.82,26.0,3.0233,255000.0,1,0,0,0,0,3.253081,0.362656,0.302096
-122.25,37.83,52.0,3.1484,224100.0,1,0,0,0,0,4.578035,0.592912,0.235269
-122.25,37.83,35.0,3.4722,243100.0,1,0,0,0,0,3.822275,0.469707,0.265344
-122.25,37.83,52.0,3.1429,231600.0,1,0,0,0,0,4.395189,0.607073,0.224394
-122.25,37.83,28.0,2.4234,218500.0,1,0,0,0,0,3.023480,0.431806,0.348467
-122.25,37.83,52.0,3.0897,234100.0,1,0,0,0,0,4.040501,0.543647,0.263723
-122.23,37.84,50.0,5.8596,327600.0,1,0,0,0,0,6.742627,0.955718,0.158648
-122.23,37.84,47.0,5.2868,347600.0,1,0,0,0,0,6.546392,0.817097,0.142992
-122.24,37.83,41.0,5.956,366100.0,1,0,0,0,0,6.851064,0.747494,0.157609
-122.24,37.85,37.0,4.9643,335000.0,1,0,0,0,0,7.106383,0.734820,0.161677
-122.23,37.85,52.0,6.3434,373600.0,1,0,0,0,0,6.947891,0.968030,0.146786
-122.24,37.84,52.0,5.1773,389500.0,1,0,0,0,0,6.358559,0.751756,0.162652
-122.24,37.85,52.0,7.2354,391100.0,1,0,0,0,0,7.117166,0.898143,0.139740
-122.22,37.85,28.0,5.457,337300.0,1,0,0,0,0,5.530335,0.753526,0.198222
-122.22,37.84,50.0,7.5,295200.0,1,0,0,0,0,6.127349,0.766584,0.161158
-122.21,37.84,44.0,6.0194,292300.0,1,0,0,0,0,5.735343,0.821851,0.174357
-122.21,37.83,40.0,7.5544,411500.0,1,0,0,0,0,7.631498,0.904602,0.135043
-122.2,37.84,30.0,6.0666,311500.0,1,0,0,0,0,6.446064,0.900422,0.156490
-122.21,37.84,34.0,7.0548,325900.0,1,0,0,0,0,6.125000,0.832208,0.161290
-122.19,37.84,18.0,11.6017,392600.0,1,0,0,0,0,8.335052,1.010663,0.129870
-122.2,37.84,35.0,7.4882,319300.0,1,0,0,0,0,6.467269,0.883712,0.160558
-122.21,37.83,34.0,6.8976,333300.0,1,0,0,0,0,6.612272,0.753311,0.155577
-122.19,37.83,28.0,8.2049,335200.0,1,0,0,0,0,6.978947,0.890703,0.138763
-122.2,37.83,26.0,8.401,351200.0,1,0,0,0,0,7.530806,0.943408,0.140340
-122.19,37.83,29.0,6.8538,368900.0,1,0,0,0,0,6.657993,0.899042,0.151312
-122.19,37.82,32.0,8.317,365900.0,1,0,0,0,0,6.977186,0.881471,0.143869
-122.2,37.82,37.0,7.0175,366700.0,1,0,0,0,0,6.982955,0.869771,0.147274
-122.2,37.82,39.0,6.3302,362800.0,1,0,0,0,0,7.540000,0.928219,0.141645
-122.18,37.81,30.0,6.3624,483300.0,1,0,0,0,0,5.615385,0.885038,0.130137
-122.21,37.82,52.0,7.0549,331400.0,1,0,0,0,0,6.785714,0.842798,0.140211
-122.2,37.81,45.0,6.7851,323500.0,1,0,0,0,0,6.957746,0.918167,0.147099
-122.21,37.8,50.0,2.8929,216700.0,1,0,0,0,0,5.132246,0.825319,0.213555
-122.21,37.8,38.0,3.0812,233100.0,1,0,0,0,0,4.628337,0.669250,0.237356
-122.21,37.81,52.0,5.2402,296400.0,1,0,0,0,0,6.200893,0.822765,0.152628
-122.22,37.81,52.0,6.5217,273700.0,1,0,0,0,0,6.399351,0.909776,0.169964
-122.22,37.8,52.0,3.2632,227700.0,1,0,0,0,0,4.745652,0.897861,0.213010
-122.22,37.8,52.0,3.0298,199600.0,1,0,0,0,0,5.183673,0.889169,0.202975
-122.22,37.8,52.0,4.5428,239800.0,1,0,0,0,0,5.283495,0.833331,0.198824
-122.22,37.81,52.0,4.072,270100.0,1,0,0,0,0,5.952941,0.799096,0.167490
-122.22,37.81,52.0,5.3509,302100.0,1,0,0,0,0,5.650672,0.685440,0.182065
-122.23,37.8,52.0,3.1603,269500.0,1,0,0,0,0,4.429194,0.539178,0.239056
-122.23,37.81,52.0,4.7708,314700.0,1,0,0,0,0,6.727700,1.055440,0.159805
-122.22,37.81,52.0,8.1564,390100.0,1,0,0,0,0,7.702632,0.988367,0.137342
-122.23,37.81,52.0,8.8793,410300.0,1,0,0,0,0,8.972868,1.205135,0.126134
-122.24,37.81,52.0,6.8591,352400.0,1,0,0,0,0,7.599388,1.069655,0.125956
-122.24,37.81,52.0,6.0302,287300.0,1,0,0,0,0,5.820313,0.906872,0.159732
-122.23,37.81,52.0,7.508,348700.0,1,0,0,0,0,7.994318,0.914015,0.129709
-122.24,37.81,52.0,2.7477,243800.0,1,0,0,0,0,4.333333,0.642181,0.262781
-122.24,37.8,52.0,2.1944,211500.0,1,0,0,0,0,5.074286,0.721318,0.189189
-122.25,37.8,52.0,3.0149,218400.0,1,0,0,0,0,4.276639,0.897258,0.244370
-122.24,37.81,52.0,3.675,269900.0,1,0,0,0,0,4.851351,0.704664,0.199761
-122.25,37.81,46.0,3.225,218800.0,1,0,0,0,0,4.326640,0.608688,0.258354
-122.25,37.8,42.0,2.9345,225000.0,1,0,0,0,0,4.059113,0.524524,0.258495
-122.25,37.8,43.0,2.1429,250000.0,1,0,0,0,0,3.274238,0.632479,0.335025
-122.25,37.8,41.0,1.6121,171400.0,1,0,0,0,0,3.561743,0.944462,0.318831
-122.25,37.8,29.0,1.3929,193800.0,1,0,0,0,0,3.192755,0.546408,0.350081
-122.24,37.79,27.0,2.3173,125000.0,1,0,0,0,0,3.804196,1.004157,0.301471
-122.25,37.79,45.0,1.7772,97500.0,1,0,0,0,0,3.882609,1.165187,0.294513
-122.25,37.79,50.0,2.6458,125000.0,1,0,0,0,0,3.209184,1.331235,0.298887
-122.25,37.79,52.0,2.181,138800.0,1,0,0,0,0,3.688705,1.095854,0.292009
-122.25,37.8,36.0,2.2303,116700.0,1,0,0,0,0,3.090239,1.108386,0.361144
-122.25,37.8,43.0,1.6504,151800.0,1,0,0,0,0,3.639752,0.976550,0.276024
-122.24,37.8,52.0,2.2697,127000.0,1,0,0,0,0,4.368421,1.165068,0.228916
-122.24,37.8,52.0,2.1563,128600.0,1,0,0,0,0,4.585014,1.169972,0.234444
-122.24,37.8,52.0,2.1348,140600.0,1,0,0,0,0,4.734328,1.099607,0.250946
-122.24,37.8,47.0,2.6292,182700.0,1,0,0,0,0,3.693141,0.783687,0.287390
-122.23,37.8,52.0,2.3833,146900.0,1,0,0,0,0,4.638132,1.099908,0.242450
-122.24,37.8,52.0,2.957,122800.0,1,0,0,0,0,4.496259,1.192183,0.232945
-122.24,37.8,49.0,2.5238,169300.0,1,0,0,0,0,4.192024,0.786845,0.263918
-122.23,37.8,52.0,1.9375,126600.0,1,0,0,0,0,4.209677,0.964569,0.234994
-122.23,37.8,51.0,1.9028,127900.0,1,0,0,0,0,4.056122,0.884147,0.260377
-122.23,37.8,50.0,2.25,123500.0,1,0,0,0,0,4.207229,1.018369,0.274914
-122.23,37.8,52.0,2.3929,111900.0,1,0,0,0,0,4.471429,1.103363,0.238818
-122.23,37.79,43.0,2.1917,112800.0,1,0,0,0,0,4.844029,1.266249,0.225390
-122.23,37.79,52.0,2.9357,107900.0,1,0,0,0,0,4.327670,1.392947,0.221537
-122.23,37.79,30.0,1.8854,137500.0,1,0,0,0,0,3.798479,1.346541,0.264264
-122.24,37.79,39.0,2.1638,105500.0,1,0,0,0,0,3.776350,1.325348,0.293397
-122.24,37.79,47.0,2.125,95500.0,1,0,0,0,0,4.528053,1.406712,0.287901
-122.24,37.79,52.0,3.375,116100.0,1,0,0,0,0,4.011905,1.348382,0.267062
-122.24,37.79,43.0,2.2542,112200.0,1,0,0,0,0,4.554622,1.280000,0.231242
-122.25,37.79,51.0,2.1,75000.0,1,0,0,0,0,3.181818,1.422013,0.245714
-122.25,37.79,39.0,1.6,112500.0,1,0,0,0,0,3.747967,1.130615,0.279826
-122.25,37.79,52.0,3.625,125000.0,1,0,0,0,0,3.973568,1.315569,0.262749
-122.26,37.8,20.0,1.6929,115000.0,1,0,0,0,0,3.510355,0.897777,0.328276
-122.22,37.77,52.0,1.6471,95000.0,1,0,0,0,0,2.833333,1.326575,0.327366
-122.22,37.77,52.0,2.59,96400.0,1,0,0,0,0,4.389961,1.207057,0.264732
-122.23,37.77,52.0,2.57,72000.0,1,0,0,0,0,4.202186,1.207246,0.267880
-122.23,37.78,52.0,2.6429,71300.0,1,0,0,0,0,3.746032,1.191997,0.309322
-122.23,37.78,52.0,3.0257,80800.0,1,0,0,0,0,4.046948,1.540445,0.249420
-122.22,37.78,50.0,1.4886,128800.0,1,0,0,0,0,4.025157,1.162233,0.276042
-122.23,37.78,43.0,1.9338,112500.0,1,0,0,0,0,3.242009,1.234993,0.332394
-122.23,37.78,52.0,1.4844,119400.0,1,0,0,0,0,3.866667,1.374460,0.261663
-122.23,37.78,44.0,1.6009,118100.0,1,0,0,0,0,3.115846,1.320601,0.352564
-122.23,37.79,48.0,2.0375,122500.0,1,0,0,0,0,4.944606,1.462742,0.233491
-122.23,37.79,49.0,2.293,106300.0,1,0,0,0,0,5.365297,1.366697,0.184681
-122.22,37.79,37.0,2.1494,132500.0,1,0,0,0,0,4.479924,1.123165,0.244985
-122.23,37.79,30.0,1.6198,122700.0,1,0,0,0,0,4.357143,1.110447,0.237705
-122.23,37.79,40.0,1.3281,113300.0,1,0,0,0,0,5.054348,1.120118,0.213978
-122.22,37.79,44.0,3.5156,109500.0,1,0,0,0,0,5.466912,1.262172,0.211163
-122.22,37.79,52.0,3.9048,164700.0,1,0,0,0,0,4.998540,1.199437,0.201519
-122.21,37.79,52.0,3.0893,125000.0,1,0,0,0,0,3.907692,1.123930,0.249344
-122.22,37.79,46.0,2.6042,124700.0,1,0,0,0,0,4.489564,1.139510,0.243026
-122.22,37.79,49.0,2.5,136700.0,1,0,0,0,0,4.306604,1.041176,0.246440
-122.22,37.79,38.0,2.7969,141700.0,1,0,0,0,0,4.626707,1.190376,0.233191
-122.2,37.79,29.0,2.8321,150000.0,1,0,0,0,0,4.823529,1.015870,0.229268
-122.21,37.79,47.0,2.9583,138800.0,1,0,0,0,0,5.284247,1.079015,0.198963
-122.21,37.79,34.0,2.8365,139200.0,1,0,0,0,0,4.581395,1.078383,0.235618
-122.21,37.79,35.0,2.875,143800.0,1,0,0,0,0,4.520725,1.085574,0.234384
-122.21,37.8,39.0,3.0682,156500.0,1,0,0,0,0,4.316810,0.871329,0.249626
-122.21,37.8,39.0,3.0757,151000.0,1,0,0,0,0,4.524664,1.007106,0.221506
-122.2,37.8,43.0,4.9559,273000.0,1,0,0,0,0,6.692308,0.896312,0.163875
-122.2,37.8,52.0,4.7721,217100.0,1,0,0,0,0,5.772388,0.968628,0.189399
-122.21,37.8,52.0,3.4861,187100.0,1,0,0,0,0,4.984419,0.981006,0.202046
-122.2,37.8,41.0,5.1184,239600.0,1,0,0,0,0,6.088235,0.860654,0.171014
-122.21,37.8,48.0,4.0977,229700.0,1,0,0,0,0,5.242063,0.697108,0.199092
-122.19,37.8,48.0,4.744,257300.0,1,0,0,0,0,7.117647,0.941188,0.152893
-122.19,37.8,46.0,4.2727,246900.0,1,0,0,0,0,5.837349,0.838655,0.175955
-122.19,37.79,50.0,2.9844,179900.0,1,0,0,0,0,5.260870,0.920629,0.201446
-122.2,37.79,40.0,4.1739,169600.0,1,0,0,0,0,4.510638,1.043205,0.241509
-122.2,37.8,46.0,3.8487,203300.0,1,0,0,0,0,5.115288,0.976119,0.198432
-122.19,37.8,52.0,4.0114,263400.0,1,0,0,0,0,6.545126,0.832752,0.149476
-122.19,37.79,45.0,4.6563,231800.0,1,0,0,0,0,5.986784,0.890408,0.165931
-122.19,37.79,28.0,2.9297,140500.0,1,0,0,0,0,4.699552,0.954131,0.242048
-122.2,37.79,35.0,2.3036,126000.0,1,0,0,0,0,4.620513,0.950568,0.254717
-122.2,37.79,49.0,2.6667,122000.0,1,0,0,0,0,4.200000,1.255480,0.221088
-122.2,37.79,44.0,2.619,134700.0,1,0,0,0,0,3.301426,1.014374,0.278840
-122.21,37.79,45.0,2.4167,139400.0,1,0,0,0,0,4.462025,1.171816,0.252009
-122.2,37.79,45.0,2.7788,115400.0,1,0,0,0,0,4.210417,1.077559,0.261257
-122.21,37.78,46.0,2.7352,137300.0,1,0,0,0,0,3.934974,0.893178,0.226887
-122.21,37.78,52.0,1.8472,137000.0,1,0,0,0,0,5.490706,1.376019,0.203114
-122.21,37.78,52.0,2.6583,142600.0,1,0,0,0,0,4.310204,1.173303,0.212121
-122.21,37.78,49.0,3.0536,137500.0,1,0,0,0,0,3.665306,1.156753,0.271715
-122.22,37.78,44.0,2.3906,111700.0,1,0,0,0,0,4.865574,1.313635,0.239218
-122.21,37.78,43.0,1.7188,126800.0,1,0,0,0,0,4.181818,1.103514,0.270270
-122.21,37.78,47.0,2.625,111300.0,1,0,0,0,0,3.655602,1.139268,0.281498
-122.22,37.77,40.0,2.8015,114800.0,1,0,0,0,0,3.659259,1.399174,0.230769
-122.22,37.78,50.0,1.7276,102300.0,1,0,0,0,0,4.036364,1.412649,0.266329
-122.22,37.78,44.0,2.0801,131900.0,1,0,0,0,0,3.389899,1.233826,0.306317
-122.22,37.78,51.0,2.489,119100.0,1,0,0,0,0,4.165394,1.367674,0.282834
-122.21,37.76,52.0,1.7546,80600.0,1,0,0,0,0,4.733333,1.285553,0.221127
-122.21,37.77,52.0,4.0904,80600.0,1,0,0,0,0,4.313869,0.946487,0.292724
-122.21,37.77,52.0,2.6765,88800.0,1,0,0,0,0,5.000000,1.155149,0.205369
-122.2,37.77,49.0,2.4338,102400.0,1,0,0,0,0,4.703934,1.210782,0.219190
-122.21,37.77,46.0,2.3309,98700.0,1,0,0,0,0,3.485876,1.206512,0.303890
-122.21,37.77,43.0,2.2604,100000.0,1,0,0,0,0,3.671480,1.104611,0.322517
-122.19,37.77,42.0,1.8039,92300.0,1,0,0,0,0,3.543726,1.230241,0.272532
-122.2,37.77,39.0,2.2562,94800.0,1,0,0,0,0,5.007449,1.257275,0.222016
-122.2,37.77,41.0,2.0562,102000.0,1,0,0,0,0,4.536657,1.099589,0.268261
-122.2,37.78,52.0,3.5398,158400.0,1,0,0,0,0,5.437352,1.063324,0.192609
-122.2,37.78,39.0,3.1167,121600.0,1,0,0,0,0,4.659574,1.046759,0.227740
-122.2,37.78,50.0,2.5401,129100.0,1,0,0,0,0,4.939153,1.093307,0.215854
-122.2,37.77,43.0,2.898,121400.0,1,0,0,0,0,5.020661,1.155503,0.206584
-122.21,37.78,44.0,2.3125,102800.0,1,0,0,0,0,4.399491,1.149057,0.239445
-122.19,37.78,52.0,2.875,160000.0,1,0,0,0,0,6.107143,1.026639,0.175439
-122.19,37.77,52.0,3.3715,143900.0,1,0,0,0,0,5.105882,0.938167,0.197235
-122.19,37.77,52.0,3.5114,151200.0,1,0,0,0,0,5.585132,1.009200,0.191069
-122.19,37.78,52.0,4.3125,164400.0,1,0,0,0,0,6.645333,1.084288,0.166533
-122.19,37.78,52.0,3.22,156500.0,1,0,0,0,0,5.956640,0.980829,0.180619
-122.18,37.78,33.0,3.875,225000.0,1,0,0,0,0,3.021277,2.504222,0.218310
-122.19,37.78,49.0,5.2328,174200.0,1,0,0,0,0,5.660287,0.864242,0.173288
-122.19,37.78,52.0,3.7262,166900.0,1,0,0,0,0,5.631579,1.071944,0.180374
-122.2,37.78,45.0,4.5893,163500.0,1,0,0,0,0,5.400612,0.977383,0.187995
-122.18,37.79,39.0,5.2578,253000.0,1,0,0,0,0,5.820755,0.800393,0.153971
-122.18,37.79,41.0,7.0875,240700.0,1,0,0,0,0,6.593458,1.073374,0.165131
-122.18,37.79,46.0,3.9712,208100.0,1,0,0,0,0,6.410334,1.030488,0.183499
-122.19,37.79,47.0,2.9514,198100.0,1,0,0,0,0,4.800781,0.821293,0.197722
-122.19,37.79,50.0,2.6667,172800.0,1,0,0,0,0,4.746269,0.999314,0.227463
-122.18,37.81,37.0,5.4446,336700.0,1,0,0,0,0,6.176692,0.846223,0.159464
-122.18,37.8,34.0,6.2838,318200.0,1,0,0,0,0,6.948718,0.818310,0.143911
-122.18,37.8,23.0,6.7527,285800.0,1,0,0,0,0,7.064024,1.068698,0.145015
-122.13,37.77,24.0,7.0712,293000.0,1,0,0,0,0,7.589506,1.039273,0.128914
-122.16,37.79,22.0,5.9849,371000.0,1,0,0,0,0,6.528724,0.929924,0.159477
-122.17,37.78,42.0,3.6875,157300.0,1,0,0,0,0,5.707865,0.891261,0.170604
-122.17,37.77,30.0,2.875,135300.0,1,0,0,0,0,4.731152,0.885377,0.224293
-122.18,37.78,43.0,3.4205,136700.0,1,0,0,0,0,4.877150,0.980522,0.221662
